fullName,born,flourished start,flourished end,died,uncertain,,,,
Attius Labeo,,,,,,0,0,VALID,VALID
Decimus Laberius,,,,,,0,0,VALID,VALID
Titus Labienus,,,,,,0,0,VALID,VALID
Gaius Laelius Sapiens,,,,,,0,0,VALID,VALID
Laelius Felix,,,,,,0,0,VALID,VALID
Laevius,,,,,,0,0,VALID,VALID
Luscius Lanuvinus,,,,,,0,0,VALID,VALID
Scribonius Largus,,,,,,0,0,VALID,VALID
Tullius Laurea,,,,,,0,0,VALID,VALID
Cn. Cornel. Lentulus Marcell.,,,,,,0,0,VALID,VALID
"Lentulus, mimus",,,,,,0,0,VALID,VALID
M. Aemilius Lepidus Porcina,,,,,,0,0,VALID,VALID
Lucilius iunior,,,,,,0,0,VALID,VALID
Quintus Lutatius Catulus,,,,,,0,0,VALID,VALID
Gaius Licinius Macer,,,,,,0,0,VALID,VALID
Aemilius Macer,,,,,,0,0,VALID,VALID
Gaius Cilnius Maecenas,,,,,,0,0,VALID,VALID
Lucius Volusius Maecianus,,,,,,0,0,VALID,VALID
Helvius Mancia,,,,,,0,0,VALID,VALID
"Manilius, poet.",,,,,,0,0,VALID,VALID
Manius Manilius,,,,,,0,0,VALID,VALID
Gnaeus Marcius vates,,,,,,0,0,VALID,VALID
Marianus,,,,,,0,0,VALID,VALID
Marullus,,,,,,0,0,VALID,VALID
Gnaeus Matius,,,,,,0,0,VALID,VALID
Terentianus Maurus,,,,,,0,0,VALID,VALID
Pomponius Mela,,,,,,0,0,VALID,VALID
Gaius Memmius,,,,,,0,0,VALID,VALID
Gaius Memmius L. f.,,,,,,0,0,VALID,VALID
M. Valerius Messalla Rufus,,,,,,0,0,VALID,VALID
M. Valerius Messalla Corvinus,,,,,,0,0,VALID,VALID
Caecilius Metellus,,,,,,0,0,VALID,VALID
Q. Caecilius Metellus Maced.,,,,,,0,0,VALID,VALID
Q. Caecilius Metellus Numid.,,,,,,0,0,VALID,VALID
Mimi Poetarum Incertorum,,,,,,0,0,VALID,VALID
Iulius Modestus,,,,,,0,0,VALID,VALID
Iulius Montanus,,,,,,0,0,VALID,VALID
Gaius Licinius Mucianus,,,,,,0,0,VALID,VALID
Mummius,,,,,,0,0,VALID,VALID
"Naevius, iunior",,,,,,0,0,VALID,VALID
Publius Aufidius Namusa,,,,,,0,0,VALID,VALID
