authorName,fullName,gender,religion
Mark Antony,Marcus Antonius triumvir ,,
Martial,Marcus Valerius Martialis ,m,
Marullo,Marullus ,m,
Matius ,Gnaeus Matius ,,
Maurus ,Terentianus Maurus ,,
Maximianus,Maximianus,m,
May,May,m,
Mela,Pomponius Mela,m,
Melanchthon,Melanchthon,m,
Memmius ,Gaius Memmius ,,
Memmius L. f. ,Gaius Memmius L. f. ,,
Messalla Corvinus ,M. Valerius Messalla Corvinus ,,
Messalla Rufus ,M. Valerius Messalla Rufus ,,
Metellus ,Caecilius Metellus ,,
Metellus Maced. ,Q. Caecilius Metellus Maced. ,,
Metellus Numid. ,Q. Caecilius Metellus Numid. ,,
Milton,Milton,m,
Mimi Poetarum Incertorum ,Mimi Poetarum Incertorum ,,
Minucius Felix,Minucius Felix,m,
Mirandola,Mirandola,m,
Modestus ,Iulius Modestus ,,
Montanus ,Iulius Montanus ,,
Mucianus ,Gaius Licinius Mucianus ,,
Mummius ,Mummius ,,
Naevius,Gnaeus Naevius ,m,
"Naevius, iunior ","Naevius, iunior ",,
Namusa ,Publius Aufidius Namusa ,,
Navagero,Navagero,m,
Nemesianus,Nemesianus,m,
Nennius,Nennius,m,
Nepos,Cornelius Nepos,m,
Neratius ,Lucius Neratius Priscus ,,
Nero ,Imperator Nero ,,
Newton,Newton,m,
Nigidius ,Publius Nigidius Figulus ,,
Ninnius ,Ninnius Crassus ,,
Nithardus,Nithardus,m,
Novius ,Lucius Novius ,,
"Novius, comoed. ","Novius, comoed. ",,
Numitorius ,Numitorius ,,
Obsequens,Julius Obsequens,m,
Oppius ,Gaius Oppius ,,
Orbilius ,Lucius Orbilius Pupillus ,,
Orosius,Orosius,m,
Ovid,Publius Ovidius Naso,m,
Owen,Owen,m,
Paconianus ,Sextus Paconianus ,,
Pacuvius,Marcus Pacuvius ,m,
Palaemon ,Quintus Remmius Palaemon ,,
"Papinius, epigram. ","Papinius, epigram. ",,
Parthenius Presbyter ,Parthenius Presbyter ,,
Pascoli,Pascoli,m,
Passerat,Passerat,m,
Passienus Crispus ,Passienus Crispus ,,
