PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text,Location
Eurythmus –i m.,Eurythmus (name),Eurythmus,Noun,3,6.31.8
Dacia –ae f. ,Dacia,Dacia,Noun,1,6.31.8
moderatio –onis f.,moderation,moderatio,Noun,2,6.31.11
calumnia –ae f.,the bringing of a false accusation; false statement,calumnia,Noun,1,6.31.12
acroama –atis n.,"item of entertainment, act",acroama,Noun,1,6.31.13
convictus –us m.,"a living together, dinner party",convictus,Noun,1,6.31.14
periucundus –a –um,"very agreeable, most acceptable",periucundus,Adjective,2,6.31.14
portus portus m.,port,portus,Noun,5,6.31.15
brachium brachi(i) n.,arm,brachium,Noun,1,6.31.15
obiaceo –iacere –iacui — ,to lie before or over against a thing,obiaceo,Verb,1,6.31.16
decursus –us m.,running down,decursus,Noun,1,6.31.16
onerarius –a –um,carrying weight,onerarius,Adjective,1,6.31.16
deicio deicere deieci deictum,"to throw down, eject",deicio,Verb,2,6.31.16
agger aggeris m.,"mound, rampart",agger,Noun,1,6.31.16
construo –ere –struxi –structus,to pile together,construo,Verb,2,6.31.16
dorsum –i n.,the back,dorsum,Noun,2,6.31.17
immensum –i n.,"a boundless extent, vastness",immensum,Noun,1,6.31.17
elido –ere –lisi –lisus,"to crush, kill, dash forth",elido,Verb,1,6.31.17
enascor enasci enatus sum,"to grow up, sprout",enascor,Verb,1,6.31.17
salutaris –e,"healthful, wholesome",salutaris,Adjective,2,6.31.17
importuosus –a –um,without a harbor,importuosus,Adjective,1,6.31.17
Tutilius –(i)i m.,Tutilius (name),Tutilius,Noun,1,6.32.1
Nonius –ii m.,Nonius (name),Nonius,Noun,2,6.32.1
nitor –oris m.,"brightness, brilliance",nitor,Noun,2,6.32.1
comitatus –us m.,an accompanying or following; a suite,comitatus,Noun,1,6.32.1
revera,in truth,revera,Adverb,3,6.33.1
Atia –ae f.,Atia (name),Atia,Noun,1,6.33.2
Viriola –ae f.,Viriola (name),Viriola,Noun,1,6.33.2
raritas –atis f.,thinness; fewness,raritas,Noun,2,6.33.2
octogenarius –a –um,containing eighty,octogenarius,Adjective,1,6.33.2
noverca novercae f.,stepmother,noverca,Noun,5,6.33.2
circumsto circumstare circumsteti,to stand around,circumsto,Verb,1,6.33.3
stipo stipare stipavi stipatus,to tread down,stipo,Verb,1,6.33.4
prorsus,forwards; straightway,prorsus,Adverb,1,6.33.5
Suburanus –i m.,Suburbanus (name),Suburanus,Noun,3,6.33.6
narratiuncula –ae f.,"a small, short narrative",narratiuncula,Noun,1,6.33.8
eloquor eloqui elocutus sum,"to speak out, express",eloquor,Verb,1,6.33.8
memoriter,"from memory, by personal recollection",memoriter,Adverb,1,6.33.11
gladiatorius (gladiatoricius) –a –um,gladiatorial,gladiatorius,Adjective,1,6.34.1
Veronensis –e,native of Verona; Veronese,Veronensis,Adjective,1,6.34.1
Africanus –a –um,African,Africanus,Adjective,2,6.34.3
coemo coemere coemi coemptum,to purchase together,coemo,Verb,1,6.34.3
praefinio –ire –ii/ivi –itus,"to determine beforehand, ordain",praefinio,Verb,2,6.34.3
peruro –urere –ussi –ustum,to burn up,peruro,Verb,1,7.1.4
unguo –ere (ungo –ere) –unxi –unctus,to anoint,unguo,Verb,2,7.1.4
potio –onis f.,"a drink, potion",potio,Noun,1,7.1.4
poculum poculi n.,drinking–cup,poculum,Noun,1,7.1.4
tuto,safely,tuto,Adverb,1,7.1.5
placide,"gently, calmly",placide,Adverb,1,7.1.6
leniter lenius (comp.) lenissime (superl.),"gently, mildly",leniter,Adverb,2,7.1.6
transcurro –ere –curri (–cucurri) –cursus,to run across; flash or shoot across,transcurro,Verb,1,7.2.2
perseverantia –ae f.,steadfastness,perseverantia,Noun,2,7.3.1
