PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
Proteus –ei or –eos m.,Proteus (name),Proteus,Noun,1,11.262
ad usque,quite to,ad usque,Idiom,1,11.262
exsulo exsulare exsulavi exsulatus,to be in exile,exsulo,Verb,1,11.263
Mycenaeus –a –um,of Mycenae; Mycenaean,Mycenaeus,Adjective,1,11.266
horribilis horribile,dreadful,horribilis,Adjective,1,11.271
lacrimosus –a –um,tearful,lacrimosus,Adjective,1,11.274
appeto appetere appetivi appetitus,"to make for, grasp",appeto,Verb,1,11.277
Graecia Graeciae f.,Greece,Graecia,Noun,1,11.287
caveo cavere cavi cautus,to beware,caveo,Verb,1,11.293
fremor –oris m.,roaring,fremor,Noun,1,11.297
praefor –fatus sum,to address first,praefor,Verb,1,11.301
assideo (ads–) assidere assedi assessus,to sit by; to watch over; resemble,assideo,Verb,1,11.304
importunus –a –um,troublesome,importunus,Adjective,2,11.305
adscisco –ere –scivi –scitus,"to adopt, to ally, to call to aid",adscisco,Verb,3,11.308
materies materiei f.,material,materies,Noun,1,11.328
sella –ae f.,seat; chair; chair of state,sella,Noun,1,11.334
futilis (futtilis) –e,"vain, weak",futilis,Adjective,2,11.339
nobilitas nobilitatis f.,fame,nobilitas,Noun,1,11.341
musso mussare mussavi mussatus,to speak low; mutter,musso,Verb,4,11.345
violentia –ae f.,violence,violentia,Noun,4,11.354
inviolabilis –e,inviolable,inviolabilis,Adjective,1,11.363
desolo desolare desolavi desolatus,to make solitary,desolo,Verb,2,11.367
vilis vilis vile,cheap,vilis,Adjective,1,11.372
infletus –a –um,unlamented,infletus,Adjective,1,11.372
distineo –ere –ui –tentus,to hold at bay,distineo,Verb,1,11.381
proinde or proin,just as,proinde,Adverb,2,11.383
eloquium –i n.,eloquence,eloquium,Noun,1,11.383
merito,deservedly,merito,Adverb,2,11.392
Hadriacus –a –um,Adriatic,Hadriacus,Adjective,1,11.405
Aufidus –i m.,Aufidus,Aufidus,Noun,1,11.405
acerbo acerbare ––– acerbatus,to embitter,acerbo,Verb,1,11.407
regressus –us m.,going back; (fig.),regressus,Noun,1,11.413
mordeo mordere momordi morsus,to bite,mordeo,Verb,2,11.418
solidum –i n.,solid ground,solidum,Noun,1,11.427
Tolumnius –ii m.,Tolumnius,Tolumnius,Noun,3,11.429
bonum –i n.,good thing; good; blessing,bonum,Noun,1,11.435
dissensus –us m.,disagreement,dissensus,Noun,1,11.455
Padusa –ae f.,Padusa,Padusa,Noun,1,11.457
loquax –acis,"talkative, chirping",loquax,Adjective,2,11.458
Volusus –i m.,Volusus,Volusus,Noun,1,11.463
manipulus (maniplus) –i m.,"an infantry unit, a company",manipulus,Noun,2,11.463
praefodio –ere –fodi –fossus,to dig before or in front of,praefodio,Verb,1,11.473
matrona –ae f.,matron,matrona,Noun,1,11.476
vaporo vaporare vaporavi vaporatus,to send out steam; to fumigate; perfume,vaporo,Verb,1,11.481
praeses praesidis m. or f.,protector,praeses,Noun,1,11.483
equa equae f.,mare,equa,Noun,2,11.494
luxurio (luxurior) luxuriare luxuriavi luxuriatus,to be luxuriant,luxurio,Verb,1,11.497
explorator –oris m.,scout,explorator,Noun,1,11.512
convexus –a –um,hollow,convexus,Adjective,1,11.515
anfractus –us m.,breaking round; the winding of way in and out,anfractus,Noun,1,11.522
accommodus –a –um,fit,accommodus,Adjective,1,11.522
planities –ei f.,level surface,planities,Noun,1,11.527
receptus –us m.,"retraction, recantation",receptus,Noun,1,11.527
Opis –is f.,Opis,Opis,Noun,3,11.532
Latonia –ae f.,Latonia,Latonia,Noun,1,11.534
dulcedo –inis f.,sweetness; delight,dulcedo,Noun,1,11.538
Privernum –i,Privernum (town),Privernum,Noun,1,11.540
Metabus –i m.,Metabus,Metabus,Noun,2,11.540
