PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
nox noctis f.,night,nox,Noun,38,1.2.3
quam,"than; as, how",quam,Adverb,29,1.2.3
perago peragere peregi peractum,to finish,perago,Verb,5,1.2.3
lassus –a –um,"tired, weary",lassus,Adjective,9,1.2.4
verso versare versavi versatus,to keep turning,verso,Verb,4,1.2.4
corpus corporis n.,body,corpus,Noun,31,1.2.4
os ossis n.,bone,os,Noun,7,1.2.4
doleo dolere dolui dolitus,to feel pain/grief,doleo,Verb,8,1.2.4
nam,for,nam,Conjunction,5,1.2.5
puto putare putavi putatus,to think,puto,Verb,23,1.2.5
sentio sentire sensi sensus,to perceive,sentio,Verb,17,1.2.5
quis quid (after si nisi ne or num),"anyone/thing, someone/thing",quis,Pronoun,26,1.2.5
tento tentare tentavi tentatus,to try,tento,Verb,5,1.2.5
subeo subire subivi/subii subitus,to go under,subeo,Verb,5,1.2.6
tectus –a –um,covered,tectus,Adjective,1,1.2.6
callidus –a –um,clever,callidus,Adjective,3,1.2.6
ars artis f.,"skill, talent",ars,Noun,19,1.2.6
noceo nocere nocui nocitus,to harm,noceo,Verb,15,1.2.6
sic,"so, in this way",sic,Adverb,33,1.2.7
haereo haerere haesi haesus,"to stick to, hang on to",haereo,Verb,3,1.2.7
tenuis tenue,thin,tenuis,Adjective,8,1.2.7
cor cordis n.,heart,cor,Noun,2,1.2.7
possido possidere possedi possessus,to take possession of,possido,Verb,1,1.2.8
ferus –a –um,"wild, fierce",ferus,Adjective,10,1.2.8
cedo cedere cessi cessum,to yield,cedo,Verb,10,1.2.9
subitus –a –um,having come up suddenly; unexpected,subitus,Adjective,2,1.2.9
luctor –ari,"to wrestle, struggle, strive",luctor,Verb,3,1.2.9
ignis ignis m.,fire,ignis,Noun,9,1.2.9
fio fieri factus sum,to become,fio,Verb,15,1.2.10
fero ferre tuli latus,"to bear, carry, report",fero,Verb,75,1.2.10
onus oneris n.,"load, burden",onus,Noun,8,1.2.10
iacto iactare iactavi iactatus,to throw,iacto,Verb,5,1.2.11
cresco crescere crevi cretus,"to grow, increase",cresco,Verb,5,1.2.11
flamma flammae f.,flame,flamma,Noun,10,1.2.11
concutio –cutere –cussi –cussus,"shake, beat, strike; terrify; disturb, distract",concutio,Verb,5,1.2.12
morior mori mortuus sum,to die,morior,Verb,13,1.2.12
verber –eris n.,whip; a beating or blow with a whip,verber,Noun,9,1.2.13
multus –a –um,"much, many",multus,Adjective,36,1.2.13
